ID,NAME,DESCRIPTION,TIME,RISK
1,Conservadora,Inversión a largo plazo con bajo riesgo,10:00,1.2
2,Moderada,Diversificación en distintos activos,12:30,2.5
3,Agresiva,Alto rendimiento con mayor volatilidad,14:45,4.8
4,Intradía,Compra y venta en el mismo día,09:15,3.7
5,Pasiva,Inversión en índices con baja intervención,16:00,1.0
6,Dividendos,Empresas con pagos periódicos de dividendos,11:00,1.8
7,Criptomonedas,Alta volatilidad con oportunidades de ganancia,22:00,5.0
8,Bonos,Instrumentos de renta fija,08:00,0.9
9,ETF,Fondos cotizados diversificados,13:30,2.0
10,Hedge Funds,Estrategias avanzadas para maximizar rendimiento,17:45,4.2
